Loan_ID,Customer_ID,Loan_Type,Loan_Amount,Outstanding_Balance,DPD,Risk_Segment,State,Sanction_Date
LN00001,CUST00001,Home Loan,259805,220373,70,High,Maharashtra,2021-04-02
LN00002,CUST00002,Personal Loan,909791,800549,139,High,Karnataka,2023-04-24
LN00003,CUST00003,Education Loan,316612,47283,23,Medium,Maharashtra,2021-04-21
LN00004,CUST00004,Business Loan,272599,174386,50,Medium,Telangana,2022-05-09
LN00005,CUST00005,Personal Loan,3818238,2853382,71,High,Karnataka,2024-04-03
LN00006,CUST00006,Personal Loan,3595146,1786628,71,High,Maharashtra,2021-03-16
LN00007,CUST00007,Auto Loan,907401,187991,97,High,Karnataka,2022-01-05
LN00008,CUST00008,Auto Loan,2268961,1919566,11,Medium,Delhi,2023-01-03
LN00009,CUST00009,Home Loan,3225376,653048,141,High,Tamil Nadu,2024-08-25
LN00010,CUST00010,Business Loan,3083614,2729951,49,Medium,Karnataka,2020-04-03
LN00011,CUST00011,Personal Loan,2477562,582427,59,Medium,Karnataka,2022-02-17
LN00012,CUST00012,Auto Loan,3853481,3051601,93,High,Maharashtra,2022-01-28
LN00013,CUST00013,Auto Loan,1807472,1586206,68,High,Karnataka,2023-06-01
LN00014,CUST00014,Personal Loan,4530690,3511248,62,High,Maharashtra,2022-08-04
LN00015,CUST00015,Education Loan,2314486,2306628,163,High,Telangana,2021-03-25
LN00016,CUST00016,Auto Loan,519241,172011,8,Medium,Tamil Nadu,2022-04-01
LN00017,CUST00017,Auto Loan,605230,281754,145,High,Tamil Nadu,2021-03-11
LN00018,CUST00018,Education Loan,3368800,3033196,117,High,Maharashtra,2021-06-26
LN00019,CUST00019,Personal Loan,2118861,1774241,143,High,Telangana,2021-06-22
LN00020,CUST00020,Business Loan,3643963,2811910,102,High,Tamil Nadu,2021-03-25
LN00021,CUST00021,Personal Loan,4324216,2502376,23,Medium,Karnataka,2024-10-29
LN00022,CUST00022,Home Loan,1332125,468718,174,High,Delhi,2023-05-06
LN00023,CUST00023,Home Loan,3277662,1928393,152,High,Delhi,2022-12-19
LN00024,CUST00024,Auto Loan,4690795,565388,174,High,Karnataka,2023-10-28
LN00025,CUST00025,Business Loan,2288291,1840697,164,High,Tamil Nadu,2020-08-16
LN00026,CUST00026,Auto Loan,3697075,1033068,116,High,Karnataka,2025-05-07
LN00027,CUST00027,Auto Loan,4249220,3620823,45,Medium,Telangana,2025-02-12
LN00028,CUST00028,Home Loan,2553536,2384645,155,High,Maharashtra,2020-11-09
LN00029,CUST00029,Auto Loan,1405171,1271676,135,High,Karnataka,2023-05-11
LN00030,CUST00030,Auto Loan,4148721,496563,28,Medium,Tamil Nadu,2024-12-04
LN00031,CUST00031,Auto Loan,2058671,327344,61,High,Telangana,2025-04-23
LN00032,CUST00032,Home Loan,768513,586448,17,Medium,Telangana,2024-04-17
LN00033,CUST00033,Personal Loan,1127025,804500,121,High,Telangana,2020-12-04
LN00034,CUST00034,Auto Loan,4476448,4106893,155,High,Delhi,2025-05-29
LN00035,CUST00035,Personal Loan,4573943,3625205,176,High,Maharashtra,2023-12-31
LN00036,CUST00036,Auto Loan,3396989,3156957,166,High,Tamil Nadu,2022-06-16
LN00037,CUST00037,Business Loan,3837340,891262,63,High,Maharashtra,2020-05-11
LN00038,CUST00038,Auto Loan,226448,176865,141,High,Maharashtra,2023-04-20
LN00039,CUST00039,Personal Loan,110321,20337,161,High,Karnataka,2021-04-13
LN00040,CUST00040,Home Loan,313510,204590,18,Medium,Telangana,2021-05-02
LN00041,CUST00041,Auto Loan,4121951,1310769,138,High,Maharashtra,2024-01-21
LN00042,CUST00042,Business Loan,4883613,4453412,62,High,Delhi,2024-07-11
LN00043,CUST00043,Education Loan,1647274,362542,24,Medium,Delhi,2021-12-26
LN00044,CUST00044,Education Loan,3498575,2308700,13,Medium,Karnataka,2020-05-04
LN00045,CUST00045,Education Loan,2896276,747934,63,High,Maharashtra,2021-01-24
LN00046,CUST00046,Business Loan,3813243,969291,108,High,Maharashtra,2021-07-24
LN00047,CUST00047,Education Loan,2145528,2048481,19,Medium,Delhi,2024-07-12
LN00048,CUST00048,Business Loan,871317,140176,166,High,Telangana,2024-09-08
LN00049,CUST00049,Home Loan,832344,331095,42,Medium,Delhi,2022-09-21
LN00050,CUST00050,Education Loan,1843042,1025346,15,Medium,Maharashtra,2022-02-15
LN00051,CUST00051,Home Loan,3325095,1444851,116,High,Tamil Nadu,2022-05-16
LN00052,CUST00052,Business Loan,4132495,1062513,48,Medium,Tamil Nadu,2021-03-21
LN00053,CUST00053,Home Loan,4908516,1002200,80,High,Karnataka,2020-04-12
LN00054,CUST00054,Business Loan,4049591,2514066,135,High,Maharashtra,2020-04-26
LN00055,CUST00055,Business Loan,722023,267053,17,Medium,Telangana,2020-05-19
LN00056,CUST00056,Personal Loan,3437114,846551,145,High,Maharashtra,2023-03-31
LN00057,CUST00057,Business Loan,383377,363071,20,Medium,Delhi,2023-09-08
LN00058,CUST00058,Business Loan,4791467,3133048,66,High,Maharashtra,2023-10-03
LN00059,CUST00059,Auto Loan,2052242,762258,101,High,Maharashtra,2023-10-07
LN00060,CUST00060,Auto Loan,3885477,1714690,18,Medium,Karnataka,2022-07-27
LN00061,CUST00061,Business Loan,4772732,1315976,18,Medium,Telangana,2021-03-12
LN00062,CUST00062,Business Loan,2274662,505247,89,High,Karnataka,2024-12-05
LN00063,CUST00063,Personal Loan,3149817,1510304,40,Medium,Delhi,2024-09-03
LN00064,CUST00064,Business Loan,2587697,2477307,2,Medium,Telangana,2021-09-05
LN00065,CUST00065,Home Loan,1176515,672276,29,Medium,Karnataka,2024-02-29
LN00066,CUST00066,Business Loan,1353991,706554,72,High,Telangana,2021-03-07
LN00067,CUST00067,Auto Loan,1757898,1617574,162,High,Tamil Nadu,2022-11-01
LN00068,CUST00068,Education Loan,2156557,2114283,13,Medium,Karnataka,2023-07-23
LN00069,CUST00069,Education Loan,2370961,422009,0,Low,Tamil Nadu,2024-04-28
LN00070,CUST00070,Personal Loan,2247440,563605,113,High,Telangana,2023-12-16
LN00071,CUST00071,Education Loan,4755227,556637,28,Medium,Karnataka,2025-04-19
LN00072,CUST00072,Personal Loan,4626743,613786,94,High,Telangana,2023-02-05
LN00073,CUST00073,Personal Loan,3655312,900076,10,Medium,Tamil Nadu,2022-01-16
LN00074,CUST00074,Home Loan,3051521,1186276,174,High,Maharashtra,2023-09-27
LN00075,CUST00075,Home Loan,3016871,2650008,104,High,Telangana,2024-03-14
LN00076,CUST00076,Personal Loan,2035896,2016798,41,Medium,Maharashtra,2024-12-10
LN00077,CUST00077,Education Loan,257923,72810,85,High,Delhi,2024-06-30
LN00078,CUST00078,Personal Loan,2288128,562674,179,High,Karnataka,2022-02-22
LN00079,CUST00079,Home Loan,3998434,1332797,51,Medium,Delhi,2021-12-17
LN00080,CUST00080,Auto Loan,1959209,663424,6,Medium,Maharashtra,2022-03-27
LN00081,CUST00081,Auto Loan,2387091,529880,71,High,Tamil Nadu,2023-08-06
LN00082,CUST00082,Business Loan,3402745,3190379,137,High,Tamil Nadu,2025-04-07
LN00083,CUST00083,Home Loan,1017556,375658,45,Medium,Telangana,2025-05-25
LN00084,CUST00084,Auto Loan,370924,93926,152,High,Delhi,2021-12-08
LN00085,CUST00085,Auto Loan,3710737,2913697,130,High,Karnataka,2022-02-27
LN00086,CUST00086,Business Loan,1644496,698640,11,Medium,Delhi,2020-01-04
LN00087,CUST00087,Business Loan,4566862,3337573,171,High,Maharashtra,2022-01-15
LN00088,CUST00088,Education Loan,636982,409937,159,High,Tamil Nadu,2023-09-20
LN00089,CUST00089,Home Loan,2569285,2383953,79,High,Delhi,2021-10-30
